MON,lat,lon,depth,carbon_ugC_l,SST,BATHY,CHLO,logchlo,logdepth,logBiom
9,73,58.93,17.5,16.8,4.224999906,-220.47244,0.855822623,-0.067616238,1.243038049,1.225309282
9,74.5,68.33,17.5,55.944,4.649999896,-62.992126,3.700844765,0.568300869,1.243038049,1.747753515
3,69.33,35.175,25,0.042,2.119999953,-157.48032,0.325875163,-0.486948738,1.397940009,-1.37675071
3,69.28,36.26,25,0.084,2.584999942,-188.97638,0.380206168,-0.419980842,1.397940009,-1.075720714
9,72.98,64.05,33.5,4.662,4.694999895,-62.992126,1.31872046,0.120152744,1.525044807,0.668572269
7,69.283,36.26,37.5,0.084,11.95499973,-188.97638,0.864865005,-0.063051675,1.574031268,-1.075720714
9,73,56.67,37.5,0.168,3.719999917,0,2.985327482,0.474991979,1.574031268,-0.774690718
9,75.572,64.942,37.5,1.68,3.364999925,-251.9685,2.528077126,0.402790319,1.574031268,0.225309282
9,71.97,55.92,37.5,3.36,4.194999906,0,1.705789208,0.231925363,1.574031268,0.526339277
9,76.5,75,37.5,6.72,2.929999935,-94.48819,2.662954092,0.425363679,1.574031268,0.827369273
9,72,63.47,37.5,8.4,5.37999988,-94.48819,1.606631994,0.205916411,1.574031268,0.924279286
9,76.025,67.4,37.5,10.08,2.939999934,0,2.328981161,0.367165976,1.574031268,1.003460532
9,76.5,70,37.5,10.08,2.66999994,-125.98425,2.523602724,0.402020988,1.574031268,1.003460532
9,74.5,60.12,37.5,11.76,3.349999925,-251.9685,2.62691474,0.419445977,1.574031268,1.070407322
9,74.5,60.83,37.5,13.44,3.499999922,-251.9685,3.289906979,0.517183619,1.574031268,1.128399269
8,71.98,66.97,39,3.801,6.674999851,0,2.243621826,0.350949656,1.591064607,0.57989787
9,74.5,68.33,41.5,5.544,4.649999896,-62.992126,3.700844765,0.568300869,1.618048097,0.743823222
5,69.384,34.484,50,0.0189,2.884999936,-125.98425,1.148266196,0.06004258,1.698970004,-1.723538196
9,74.515,61.8,62.5,5.04,3.784999915,-314.96063,2.55090189,0.406693756,1.795880017,0.702430536
9,74.5,60.12,62.5,5.88,3.349999925,-251.9685,2.62691474,0.419445977,1.795880017,0.769377326
9,76.5,75,62.5,6.72,2.929999935,-94.48819,2.662954092,0.425363679,1.795880017,0.827369273
9,69.62,34.692,75,0.042,9.164999795,-125.98425,0.796133935,-0.099013864,1.875061263,-1.37675071
9,69.55,35.217,75,0.042,9.234999794,-157.48032,0.790056527,-0.102341835,1.875061263,-1.37675071
9,69.388,34.493,75,0.084,9.284999792,-125.98425,1.368377209,0.136205832,1.875061263,-1.075720714
9,72,60.07,87.5,1.68,5.454999878,-62.992126,0.929624081,-0.031692635,1.942008053,0.225309282
9,74.5,65.1,87.5,1.68,4.084999909,-125.98425,2.232220173,0.348737029,1.942008053,0.225309282
9,74.515,61.8,87.5,1.68,3.784999915,-314.96063,2.55090189,0.406693756,1.942008053,0.225309282
9,74.5,60.12,87.5,3.36,3.349999925,-251.9685,2.62691474,0.419445977,1.942008053,0.526339277
9,76.5,75,87.5,3.78,2.929999935,-94.48819,2.662954092,0.425363679,1.942008053,0.5774918
7,69.55,35.217,88,0.0105,10.90999976,-157.48032,0.666603148,-0.17613264,1.944482672,-1.978810701
3,69.47,34.55,91,0.021,2.459999945,-125.98425,0.381622851,-0.418365628,1.959041392,-1.677780705
3,69.33,35.175,97.5,0.021,2.119999953,-157.48032,0.325875163,-0.486948738,1.989004616,-1.677780705
3,69.38,35.185,99,0.0189,2.579999942,-157.48032,0.365964741,-0.436560755,1.995635195,-1.723538196
3,69.62,34.692,108.5,0.0168,2.969999934,-125.98425,0.387208074,-0.412055595,2.035429738,-1.774690718
3,69.47,35.2,109,0.0336,2.759999938,-157.48032,0.384624481,-0.414963077,2.037426498,-1.473660723
