"","X","MON","YEAR","lat","lon","depth","biomass_mgC_m3","SST","BATHY","CHLO","logchlo","logdepth","logBiom"
"4170",4170,7,"Core data repeated - flag grazing rate on bact versus pico.",-45,175.5,11,2.82,8.31499981414527,-1385.8268,0.242300570011139,-0.61564556418523,1.04139268515823,0.450249108319361
"4171",4171,7,"Core data repeated - flag grazing rate on bact versus pico.",-46.5,172.5,11,7.05,7.91999982297421,-1448.8188,0.250031113624573,-0.602005944789204,1.04139268515823,0.848189116991399
"4174",4174,7,"Core data repeated - flag grazing rate on bact versus pico.",-46,175.5,11,7.59,8.53999980911613,-1385.8268,0.262597233057022,-0.580709854310507,1.04139268515823,0.88024177589548
"4175",4175,7,"Core data repeated - flag grazing rate on bact versus pico.",-43,175.5,11,15.54,11.8849997343495,-1858.2677,0.344986826181412,-0.462197488770075,1.04139268515823,1.1914510144649
"4176",4176,6,"Core data repeated - flag grazing rate on bact versus pico.",-43,175.5,11,15.54,12.4249997222796,-1858.2677,0.411131054162979,-0.386019718203201,1.04139268515823,1.1914510144649
"4177",4177,4,"",58.35,18.14,21,4.54,3.18999992869794,-157.48032,6.82785320281982,0.834284175317528,1.32221929473392,0.657055852857104
"4178",4178,5,"",58.35,18.14,21,20.3,7.15499984007329,-157.48032,5.32278394699097,0.726138838418876,1.32221929473392,1.30749603791321
"4179",4179,5,"",58.35,18.14,21,14.65,7.15499984007329,-157.48032,5.32278394699097,0.726138838418876,1.32221929473392,1.16583762469013
"4180",4180,5,"",58.35,18.14,21,6.52,7.15499984007329,-157.48032,5.32278394699097,0.726138838418876,1.32221929473392,0.81424759573192
"4181",4181,7,"",58.35,18.14,21,6.26,17.4399996101856,-157.48032,8.32214450836182,0.920235252749795,1.32221929473392,0.79657433321043
"4182",4182,6,"",58.35,18.14,21,4.1,12.7549997149035,-157.48032,7.65870571136475,0.884155381916408,1.32221929473392,0.612783856719735
"4183",4183,7,"",58.35,18.14,21,2.19,17.4399996101856,-157.48032,8.32214450836182,0.920235252749795,1.32221929473392,0.340444114840118
"4184",4184,8,"",58.35,18.14,21,3.59,18.3699995893985,-157.48032,5.49485111236572,0.739955929342948,1.32221929473392,0.555094448578319
"4185",4185,8,"",58.35,18.14,21,5.25,18.3699995893985,-157.48032,5.49485111236572,0.739955929342948,1.32221929473392,0.720159303405957
"4186",4186,9,"",58.35,18.14,21,2.92,15.4599996544421,-157.48032,4.72889947891235,0.674760082419387,1.32221929473392,0.465382851448418
"4187",4187,9,"",58.35,18.14,21,3.91,15.4599996544421,-157.48032,4.72889947891235,0.674760082419387,1.32221929473392,0.592176757395867
"4188",4188,10,"",58.35,18.14,21,3.49,11.0999997518957,-157.48032,4.81230020523071,0.682352712061072,1.32221929473392,0.54282542695918
"4189",4189,10,"",58.35,18.14,21,2.25,11.0999997518957,-157.48032,4.81230020523071,0.682352712061072,1.32221929473392,0.352182518111362
"4191",4191,10,"",-47,-6,101,49.91,3.28999992646277,-3464.567,0.222394034266472,-0.652876866909682,2.00432137378264,1.69818756986612
"4192",4192,10,"",-48,-6,101,50.44,2.43499994557351,-4000,0.246527135372162,-0.608135270732414,2.00432137378264,1.70277507790104
"4193",4193,10,"",-49,-6,101,87.7,1.97999995574355,-2960.63,0.268082171678543,-0.571732067028248,2.00432137378264,1.94299959336604
"4194",4194,10,"",-50,-6,101,43.16,1.28999997116625,-2960.63,0.238600388169289,-0.622328854129033,2.00432137378264,1.63508143601087
"4195",4195,10,"",-50.3,-6,101,50.72,1.16499997396022,-2519.685,0.238720744848251,-0.622109839134618,2.00432137378264,1.70517924487368
"4196",4196,10,"",-51,-6,101,26.35,0.499999988824129,-1984.252,0.194909170269966,-0.710167727306423,2.00432137378264,1.42078061954857
"4197",4197,10,"",-52,-6,101,19.78,0.19499999564141,-2551.1812,0.187394693493843,-0.727242711308281,2.00432137378264,1.29622628726116
"4198",4198,10,"",-53,-6,101,49.03,-0.319999992847443,-2551.1812,0.190877705812454,-0.719244793492359,2.00432137378264,1.69046189324618
"4199",4199,10,"",-53.3,-6,101,30.72,-0.374999991618097,-2929.1338,0.194472551345825,-0.711141688118631,2.00432137378264,1.48742121135947
"4200",4200,10,"",-54,-6,101,45.14,-0.779999982565641,-3086.6143,0.201473012566566,-0.69578311963885,2.00432137378264,1.65456155474174
"4201",4201,10,"",-54.3,-6,101,25.33,-0.779999982565641,-3086.6143,0.208081483840942,-0.681766563822394,2.00432137378264,1.40363518979055
"4202",4202,10,"",-55,-6,101,39,-0.939999978989363,-3307.0867,0.213757336139679,-0.670078971381975,2.00432137378264,1.5910646070265
"4204",4204,8,"",65,24,9,22.8,15.9199996441603,0,6.23045873641968,0.794520024084723,0.954242509439325,1.35793484700045
"4205",4205,7,"",65,24,9,22.8,16.2849996360019,0,6.20516347885132,0.792753227740919,0.954242509439325,1.35793484700045
"4206",4206,8,"",65,24,9,24.87,15.9199996441603,0,6.23045873641968,0.794520024084723,0.954242509439325,1.39567578526994
"4207",4207,7,"",65,24,9,24.87,16.2849996360019,0,6.20516347885132,0.792753227740919,0.954242509439325,1.39567578526994
"4208",4208,8,"",65,24,9,28.08,15.9199996441603,0,6.23045873641968,0.794520024084723,0.954242509439325,1.44839710345777
"4209",4209,7,"",65,24,9,28.08,16.2849996360019,0,6.20516347885132,0.792753227740919,0.954242509439325,1.44839710345777
"4210",4210,8,"",65,24,9,20.48,15.9199996441603,0,6.23045873641968,0.794520024084723,0.954242509439325,1.31132995230379
"4211",4211,7,"",65,24,9,20.48,16.2849996360019,0,6.20516347885132,0.792753227740919,0.954242509439325,1.31132995230379
"4215",4215,5,"",-4.4,-105,16,1.07,26.0749994171783,-3055.1182,0.150937259197235,-0.821203540433954,1.20411998265592,0.0293837776852097
"4216",4216,5,"",-4.4,-105,16,2.51,26.0749994171783,-3055.1182,0.150937259197235,-0.821203540433954,1.20411998265592,0.399673721481038
"4217",4217,6,"",-4.4,-105,16,3.11,25.1399994380772,-3055.1182,0.15604867041111,-0.806739927322763,1.20411998265592,0.492760389026837
"4218",4218,6,"",-4.4,-105,16,5.99,25.1399994380772,-3055.1182,0.15604867041111,-0.806739927322763,1.20411998265592,0.777426822389311
"4219",4219,6,"",-4.4,-105,16,5.92,25.1399994380772,-3055.1182,0.15604867041111,-0.806739927322763,1.20411998265592,0.77232170672292
"4220",4220,6,"",-4.4,-105,16,2.56,25.1399994380772,-3055.1182,0.15604867041111,-0.806739927322763,1.20411998265592,0.40823996531185
"4221",4221,6,"",-4.4,-105,16,0.62,25.1399994380772,-3055.1182,0.15604867041111,-0.806739927322763,1.20411998265592,-0.207608310501746
"4235",4235,7,"Core data repeated - Nutrients added- PO43- (2 uM) + NO3- (20 uM)",55.1738,-164.1256,7,47.43,9.2999997921288,-94.48819,1.5932012796402,0.202270646557561,0.845098040014257,1.67605312465187
"4236",4236,7,"Core data repeated - Nutrients added- PO43- (2 uM) + NO3- (20 uM)",55.4166,-164.331,9,30.13,9.25499979313463,-94.48819,1.22801220417023,0.0892026829105641,0.954242509439325,1.47899913167336
"4237",4237,8,"Core data repeated - Nutrients added- PO43- (2 uM) + NO3- (20 uM)",56.5248,-159.9924,12,18.65,11.9049997339025,0,3.79578185081482,0.579301244927606,1.07918124604762,1.27067883614471
"4238",4238,7,"Core data repeated - Nutrients added- PO43- (2 uM) + NO3- (20 uM)",56.8638,-160.5289,10,65.58,11.1099997516721,-31.496063,0.929893314838409,-0.0315668744941517,1,1.81677141233335
"4239",4239,7,"Core data repeated - Nutrients added- PO43- (2 uM) + NO3- (20 uM)",57.132,-164.0851,6,52.79,9.77499978151172,-31.496063,0.717250287532806,-0.144329268981042,0.778151250383644,1.72255166200096
"4240",4240,7,"Core data repeated - Nutrients added- PO43- (2 uM) + NO3- (20 uM)",56.2079,-164.3378,31,35.52,9.71999978274107,-62.992126,0.852984189987183,-0.0690590183810786,1.49136169383427,1.55047295710656
"4241",4241,8,"Core data repeated - Nutrients added- PO43- (2 uM) + NO3- (20 uM)",56.8154,-164.0112,8,44.59,11.0349997533485,-62.992126,0.825723707675934,-0.0831652460265567,0.903089986991944,1.64923747234961
"4242",4242,8,"Core data repeated - Nutrients added- PO43- (2 uM) + NO3- (20 uM)",57.1316,-171.2188,11,46.75,9.06499979738146,-94.48819,1.03166842460632,0.0135401386650758,1.04139268515823,1.66978161520854
"4243",4243,8,"Core data repeated - Nutrients added- PO43- (2 uM) + NO3- (20 uM)",56.4612,-169.5795,11,64.71,9.01499979849905,-62.992126,1.19295752048492,0.0766249793388635,1.04139268515823,1.81097139982221
